"geo_id","geo_parent_id","geo_type","name","name_uk"
4714,8,"city","Приозерное","Приозерне"
4715,378,"city","село Говтвянчик","село Говтвянчик"
4716,63,"city","село Циркуны","село Циркуни"
4717,92,"city","село Погребы","село Погреби"
4718,37652,"city","село Бунов","село Бунів"
4719,37606,"city","село Гамалиевка","село Гамаліївка"
4720,37604,"city","село Петрополь","село Петропіль"
4721,37613,"city","село Нивы","село Ниви"
4722,37610,"city","село Дешки","село Дешки"
4723,242,"city","село Бажановка","село Бажанівка"
4724,37630,"city","поселок городского типа Фащевка","селище міського типу Фащівка"
4725,242,"city","село Белоречица","село Білорічиця"
4726,143,"city","село Великий Кобылин","село Великий Кобилин"
4727,353,"city","село Выговка","село Вигівка"
4728,314,"city","село Богдановка","село Богданівка"
4729,298,"city","село Ставище","село Ставище"
4730,93,"city","село Вольнянка","село Вільнянка"
4731,67,"city","село Малая Белозерка","село Мала Білозерка"
4732,413,"city","село Подгайцы","село Підгайці"
4733,280,"city","село Гнатовка","село Гнатівка"
4734,280,"city","село Слобода-Кустовецкая","село Слобода-Кустовецька"
4735,220,"city","село Зайвое","село Зайве"
4736,232,"city","село Малые Прицки","село Малі Прицьки"
4737,251,"city","село Весняное","село Весняне"
4738,226,"city","село Аполлоновка","село Аполлонівка"
4739,111,"city","село Нагоряны","село Нагоряни"
4740,221,"city","село Грицевцы","село Грицівці"
4741,337,"city","поселок Кумшацкое","селище Кумшацьке"
4742,302,"city","село Колодковка","село Колодківка"
4743,289,"city","село Линтваровка","село Линтварівка"
4744,37,"city","село Барвинки","село Барвінки"
4745,38,"city","село Павловка","село Павлівка"
4746,275,"city","поселок городского типа Войнилов","селище міського типу Войнилів"
4747,170,"city","село Столпин","село Стовпин"
4748,37649,"city","село Филенково","село Филенкове"
4749,37637,"city","село Софиевка","село Софіївка"
4750,37644,"city","село Червоная Горка","село Червона Гірка"
4751,118,"city","село Ильковцы","село Ільківці"
4752,57,"city","село Верхнезаморское","село Верхньозаморське"
4753,37611,"city","село Ковалевка","село Ковалівка"
4754,37608,"city","село Фастовка","село Фастівка"
4755,111,"city","село Ковяри","село Ков'ярі"
4756,336,"city","село Купчичи","село Купчичі"
4757,282,"city","село Золотоношка","село Золотоношка"
4758,89,"city","село Бортники","село Бортники"
4759,178,"city","село Бошевка","село Бошівка"
4760,37646,"city","село Иваново Селище","село Іванове Селище"
4761,260,"city","село Сошное","село Сошне"
4762,208,"city","село Каменка","село Кам'янка"
4763,221,"city","село Бодаки","село Бодаки"
4764,309,"city","село Горбовичи","село Горбовичі"
4765,347,"city","село Штукар","село Штукар"
4766,215,"city","село Белоскирка","село Білоскірка"
4767,164,"city","село Любимое","село Любиме"
4768,21,"city","Садово-Хрустальненский","Садово-Хрустальненський"
4769,77,"city","село Кимир","село Кимир"
4770,37648,"city","село Рудковцы","село Рудківці"
4771,73,"city","село Семиланное","село Семиланне"
4772,218,"city","село Мартыновка","село Мартинівка"
